state,E_ex,osc,nm
1,2.1203,0.013,584.7483516
2,2.2026,0.0753,562.899269
3,2.2402,0.0073,553.4514463
4,2.2659,0.0354,547.1741604
5,2.2766,0.047,544.6024466
6,2.5768,0.011,481.1556698
7,2.9777,0.0093,416.3757027
8,2.9848,0.001,415.385262
9,3.2678,0.0059,379.4118153
10,3.3434,0.0009,370.8326644
11,3.3918,0.0009,365.54099
12,3.4331,0.0015,361.1435525
13,3.4646,0.0152,357.8600502
14,3.5114,0.015,353.0904853
15,3.5693,0.0006,347.3627686
16,3.6552,0.0053,339.1994775
17,3.6871,0.0037,336.2647962
18,3.7287,0.0073,332.5131896
19,3.8925,0.0065,318.520727
20,3.8985,0.0657,318.0305066
21,4.0244,0.0215,308.0811873
22,4.0374,0.0033,307.0891985
23,4.0625,0.0033,305.1918597
24,4.085,0.0038,303.5108764
25,4.1068,0.0142,301.8997589
26,4.1306,0.0763,300.1602503
27,4.1501,0.0032,298.7498928
28,4.1639,0.0218,297.7597757
29,4.1764,0.1581,296.8685782
30,4.2034,0.1571,294.961681
31,4.2222,0.1475,293.6483184
32,4.2799,0.0658,289.6894624
33,4.3079,0.0248,287.8065716
34,4.3341,0.0247,286.0667567
35,4.3562,0.0022,284.6154745
36,4.4143,0.0197,280.8694312
37,4.4585,0.0031,278.0849905
38,4.4799,0.0114,276.7566084
39,4.4898,0.0207,276.1463606
40,4.5258,0.0107,273.9497835
41,4.539,0.0022,273.153102
42,4.5511,0.0208,272.4268704
43,4.581,0.0196,270.6487514
44,4.5888,0.0392,270.1887051
45,4.606,0.0068,269.1797503
46,4.6097,0.0152,268.9636918
47,4.6641,0.0045,265.8266182
48,4.7018,0.0036,263.6951657
49,4.7373,0.0232,261.7191079
50,4.7553,0.0314,260.7284356
51,4.762,0.0042,260.3615981
52,4.782,0.0114,259.2726746
53,4.8076,0.0012,257.892073
54,4.8411,0.024,256.1074818
55,4.847,0.0413,255.7957355
56,4.8573,0.024,255.2533156
57,4.9344,0.0003,251.2649826
58,4.9729,0.006,249.3196988
59,4.9824,0.0024,248.844318
60,4.9932,0.0041,248.3060823
61,5.0239,0.0046,246.7887358
62,5.0313,0.0029,246.4257607
63,5.0366,0,246.1664476
64,5.0659,0.0196,244.7426775
65,5.1109,0.0289,242.5877888
66,5.1435,0.0718,241.050244
67,5.1543,0.0286,240.5451623
68,5.162,0.0022,240.1863483
69,5.1724,0.0071,239.7034123
70,5.192,0.0047,238.7985227
71,5.1974,0.0025,238.5504156
72,5.1984,0.0227,238.5045264
73,5.2053,0.0046,238.1883715
74,5.2088,0.0133,238.0283232
75,5.2159,0.0005,237.7043137
76,5.2326,0.0429,236.9456733
77,5.2365,0.0126,236.7692027
78,5.253,0.0154,236.0254959
79,5.2558,0.0073,235.8997546
80,5.2568,0.0077,235.8548794
81,5.2617,0.0016,235.6352377
82,5.2647,0.0103,235.5009649
83,5.2788,0.0098,234.8719273
84,5.2839,0.0182,234.6452298
85,5.2963,0.0265,234.095865
86,5.3204,0.0139,233.0354729
87,5.3283,0.0083,232.689963
88,5.3363,0.0579,232.3411221
89,5.3422,0.0093,232.0845214
90,5.3443,0.309,231.9933256
91,5.3754,0.2859,230.6511013
92,5.3881,0.0763,230.107446
93,5.3997,0.0134,229.6131137
94,5.4012,0.2214,229.5493464
95,5.4287,0.0025,228.3865253
96,5.4454,0.1519,227.6861075
97,5.4611,0.0522,227.0315376
98,5.4723,0.0334,226.5668786
99,5.4797,0.0279,226.2609139
100,5.4848,0.0061,226.0505269
