state,E_ex,osc,nm
1,2.443,0.0029,507.5079533
2,2.5322,0.0755,489.6303333
3,2.5825,0.0352,480.0936805
4,2.6661,0.0315,465.0395447
5,2.699,0.014,459.3708522
6,2.858,0.0182,433.8145311
7,2.9996,0.0159,413.3357548
8,3.1058,0.0057,399.2021154
9,3.5469,0.001,349.5564944
10,3.5663,0.0014,347.6549729
11,3.6088,0.0035,343.560721
12,3.685,0.0015,336.4564261
13,3.7205,0.0042,333.2460503
14,3.7494,0.0085,330.6774231
15,3.8279,0.0103,323.8961128
16,3.8671,0.0004,320.6128443
17,3.9849,0.0185,311.1350172
18,4.0143,0.0215,308.8563212
19,4.0596,0.0162,305.4098754
20,4.101,0.1846,302.3267325
21,4.1163,0.0129,301.2030051
22,4.1599,0.1561,298.0460901
23,4.1721,0.1092,297.1745476
24,4.2401,0.0703,292.4086531
25,4.2735,0.0318,290.1233017
26,4.3413,0.0019,285.592318
27,4.3511,0.0713,284.9490772
28,4.4112,0.0031,281.066814
29,4.4198,0.006,280.5199172
30,4.4362,0.0319,279.482875
31,4.4691,0.01,277.4254168
32,4.4859,0.0005,276.3864397
33,4.4962,0.014,275.7532872
34,4.5012,0.0193,275.4469764
35,4.5289,0.018,273.7622668
36,4.5533,0.021,272.295243
37,4.5785,0.0036,270.7965338
38,4.6004,0.0196,269.5074189
39,4.6362,0.0275,267.4263254
40,4.6545,0.0133,266.374891
41,4.6676,0.0167,265.6272881
42,4.6741,0.0246,265.2578956
43,4.7328,0.0328,261.9679534
44,4.744,0.014,261.3494793
45,4.7497,0.0248,261.0358402
46,4.7843,0.0304,259.1480321
47,4.8307,0.0284,256.6588548
48,4.8425,0.0102,256.0334393
49,4.8492,0.0012,255.6796853
50,4.8748,0.0036,254.3369841
51,4.8839,0.0004,253.8630869
52,4.891,0.007,253.4945676
53,4.8944,0.0015,253.3184721
54,4.9165,0.0184,252.1797885
55,4.9382,0.0088,251.0716314
56,4.9527,0.0217,250.33657
57,4.9784,0.0086,249.0442572
58,4.9919,0.0016,248.3707466
59,5.025,0.0189,246.7347124
60,5.0314,0.0129,246.420863
61,5.0483,0.0191,245.5959293
62,5.0563,0.0076,245.2073512
63,5.0742,0.0012,244.3423456
64,5.0884,0.0071,243.6604689
65,5.0945,0.0055,243.3687172
66,5.1088,0.001,242.6875059
67,5.1157,0.0094,242.3601716
68,5.1432,0.001,241.0643043
69,5.1789,0.0019,239.4025623
70,5.1965,0.0017,238.591731
71,5.1986,0.0005,238.4953507
72,5.2002,0.0006,238.4219703
73,5.241,0.0196,236.5659092
74,5.2526,0.0167,236.0434699
75,5.2596,0.0039,235.7293197
76,5.2662,0.0095,235.4338859
77,5.2754,0.0014,235.0233025
78,5.2923,0,234.2727982
79,5.3121,0.0117,233.399584
80,5.3656,0.2991,231.072374
81,5.3777,0.2112,230.5524537
82,5.3872,0.1117,230.1458884
83,5.39,0.0016,230.0263321
84,5.3987,0.0474,229.6556449
85,5.4206,0.0019,228.7278032
86,5.4304,0.0031,228.3150284
87,5.4376,0.0986,228.0127133
88,5.4449,0.01,227.7070157
89,5.4521,0.0116,227.4063077
90,5.4564,0.0209,227.2270966
91,5.4658,0.0076,226.8363149
92,5.4683,0.0456,226.7326098
93,5.4752,0.0054,226.446875
94,5.4779,0.0084,226.3352617
95,5.4848,0.0045,226.0505269
96,5.4889,0.0557,225.8816757
97,5.4923,0.0025,225.741844
98,5.5054,0.0147,225.2046954
99,5.5139,0.0556,224.8575292
100,5.5233,0.0978,224.4748484
