state,E_ex,osc,nm
1,2.1503,0.0414,576.5902107
2,2.2006,0.0092,563.4108561
3,2.2274,0.001,556.6319161
4,2.2514,0.114,550.6982011
5,2.2738,0.0176,545.2730803
6,2.5934,0.0113,478.0758579
7,3.03,0.0017,409.1887558
8,3.0507,0.0048,406.4122759
9,3.2853,0.0043,377.3907801
10,3.3099,0.0004,374.585918
11,3.3337,0.0071,371.9116687
12,3.4979,0.001,354.4532234
13,3.549,0.0067,349.3496562
14,3.6106,0.0204,343.389445
15,3.6325,0.009,341.3191824
16,3.6948,0.0022,335.564017
17,3.7062,0.0049,334.5318466
18,3.7328,0.0155,332.1479667
19,3.8991,0.038,317.9815675
20,3.9131,0.0122,316.8439166
21,4.0353,0.0185,307.24901
22,4.0459,0.0149,306.4440372
23,4.0838,0.0025,303.6000612
24,4.0887,0.006,303.2362193
25,4.129,0.0205,300.2765633
26,4.133,0.024,299.9859497
27,4.1692,0.0085,297.3812554
28,4.1904,0.0496,295.8767492
29,4.2167,0.0575,294.0313349
30,4.2535,0.2314,291.4874644
31,4.2678,0.058,290.5107854
32,4.3145,0.0321,287.3663066
33,4.3297,0.0887,286.3574682
34,4.3416,0.0053,285.5725838
35,4.3697,0.0363,283.7361672
36,4.436,0.0184,279.4954757
37,4.4739,0.0031,277.12777
38,4.4862,0.0153,276.3679573
39,4.5187,0.0222,274.3802266
40,4.5285,0.0116,273.7864481
41,4.5565,0.0037,272.1040119
42,4.5627,0.0034,271.7342648
43,4.5725,0.0069,271.151871
44,4.5849,0.0021,270.4185326
45,4.6149,0.0881,268.6606275
46,4.6224,0.0038,268.2247166
47,4.6231,0.01,268.1841037
48,4.6913,0.0037,264.2853644
49,4.7123,0.0076,263.1075971
50,4.7314,0.0043,262.0454686
51,4.7402,0.0276,261.5589912
52,4.7638,0.0531,260.2632205
53,4.7938,0.0186,258.6344716
54,4.8269,0.0034,256.8609107
55,4.8425,0.0017,256.0334393
56,4.8508,0.0001,255.5953513
57,4.8609,0,255.0642741
58,4.9134,0.0088,252.3388957
59,4.9661,0.013,249.6610882
60,4.9681,0.0108,249.5605825
61,4.9798,0.038,248.9742419
62,5.0001,0.0012,247.9634267
63,5.0133,0.0293,247.31054
64,5.0622,0.0507,244.9215618
65,5.0636,0.0122,244.8538451
66,5.0946,0.0074,243.3639403
67,5.1042,0.0004,242.9062204
68,5.1223,0.0177,242.0478945
69,5.1352,0.0041,241.4398524
70,5.148,0.0034,240.8395357
71,5.1572,0.0014,240.4098988
72,5.171,0.0179,239.7683098
73,5.1755,0.0306,239.5598358
74,5.1933,0.0004,238.7387461
75,5.2033,0.002,238.2799243
76,5.2163,0.0001,237.6860859
77,5.2243,0.0011,237.3221159
78,5.2329,0.0099,236.9320893
79,5.2553,0.0259,235.9221985
80,5.2592,0.0133,235.7472486
81,5.3,0.0252,233.9324396
82,5.3347,0.0971,232.4108066
83,5.3474,0.4062,231.8588342
84,5.3482,0.0253,231.8241521
85,5.3604,0.0498,231.296532
86,5.3639,0.0516,231.1456086
87,5.3704,0.0021,230.8658443
88,5.3787,0.0218,230.5095897
89,5.3874,0.0113,230.1373445
90,5.3939,0.027,229.8600141
91,5.4069,0.2198,229.3073536
92,5.4096,0.0386,229.1929034
93,5.4214,0.0389,228.6940514
94,5.4595,0.4529,227.0980731
95,5.4675,0.0075,226.7657851
96,5.4752,0.4588,226.446875
97,5.4979,0.0022,225.51191
98,5.5117,0.0176,224.9472812
99,5.5202,0.021,224.6009076
100,5.5285,0.0495,224.2637117
