state,E_ex,osc,nm
1,2.7219,0.003,455.5060546
2,2.7803,0.0057,445.9381829
3,2.7866,0.0075,444.9299971
4,2.8937,0.0324,428.4624978
5,3.056,0.0237,405.7074378
6,3.0955,0.0074,400.5304248
7,3.2802,0.0041,377.977541
8,3.4239,0.0032,362.1139432
9,3.5631,0.0003,347.9671999
10,3.6518,0.0029,339.5152884
11,3.8282,0.0011,323.8707304
12,3.8609,0.0035,321.1276982
13,3.9075,0.0085,317.2979987
14,3.928,0.0038,315.6420392
15,4.0411,0.0078,306.80803
16,4.0981,0.0055,302.5406725
17,4.188,0.0004,296.0463061
18,4.3524,0.0022,284.863967
19,4.4673,0.0015,277.5371992
20,4.4748,0.0014,277.0720323
21,4.5557,0.0032,272.1517945
22,4.6291,0.0021,267.8364974
23,4.6812,0.0057,264.8555776
24,4.701,0.0031,263.7400404
25,4.7408,0.0005,261.525888
26,4.7861,0.005,259.0505694
27,4.8458,0.0054,255.85908
28,4.9664,0.0007,249.6460072
29,4.9762,0.0052,249.1543608
30,4.9966,0.0004,248.1371192
31,5.0043,0.0002,247.7553164
32,5.0286,0.0037,246.5580738
33,5.0709,0.0073,244.5013568
34,5.083,0.0015,243.9193252
35,5.1031,0.0019,242.9585801
36,5.1087,0.0001,242.6922563
37,5.1457,0.005,240.947185
38,5.1775,0.0081,239.467297
39,5.186,0.0176,239.0748033
40,5.2149,0.0805,237.7498955
41,5.2501,0.0002,236.1558694
42,5.3461,0.0002,231.9152148
43,5.3809,0.0061,230.415345
44,5.4424,0.0104,227.8116144
45,5.4598,0.0051,227.0855947
46,5.4776,0.0006,226.3476577
47,5.4961,0.0019,225.5857663
48,5.5532,0.0016,223.2662123
49,5.5547,0.0014,223.2059211
50,5.5748,0.0051,222.4011498
51,5.5894,0.0002,221.8202186
52,5.5959,0.0002,221.5625601
53,5.6395,0.0025,219.8496196
54,5.6421,0.0054,219.7483083
55,5.6539,0.0025,219.2896815
56,5.6689,0.001,218.7094375
57,5.6916,0.0003,217.8371512
58,5.6981,0.0109,217.5886576
59,5.6984,0.0081,217.5772024
60,5.724,0.0028,216.6041108
61,5.729,0.0005,216.4150689
62,5.7313,0.0001,216.3282205
63,5.737,0.0031,216.1132874
64,5.744,0.0003,215.8499182
65,5.7566,0.0107,215.3774676
66,5.7599,0.0276,215.2540721
67,5.7821,0,214.427618
68,5.8178,0.0186,213.1118172
69,5.8263,0.0105,212.800908
70,5.8305,0.0572,212.6476168
71,5.8594,0.0019,211.5987866
72,5.8727,0.0022,211.1195753
73,5.89,0.0006,210.4994788
74,5.9016,0.0053,210.0857276
75,5.9058,0.0049,209.9363219
76,5.9102,0.0057,209.7800294
77,5.9291,0.0048,209.1113204
78,5.9344,0.0272,208.9245636
79,5.9516,0.0264,208.3207759
80,5.9589,0.0073,208.0655708
81,5.986,0.0639,207.1236101
82,5.9998,0.0096,206.6472099
83,6.0112,0.0196,206.2553118
84,6.0449,0.0069,205.1054492
85,6.0526,0.0123,204.8445181
86,6.0588,0.0107,204.6348997
87,6.0687,0.0108,204.3010744
88,6.0706,0.0037,204.2371314
89,6.0812,0.0067,203.8811304
90,6.087,0.0007,203.6868622
91,6.0905,0.0026,203.5698104
92,6.0992,0.0005,203.279435
93,6.1007,0.0049,203.229454
94,6.1082,0.0061,202.9799172
95,6.1216,0.0187,202.5356002
96,6.1287,0.0047,202.3009659
97,6.1424,0.0067,201.8497542
98,6.148,0.0016,201.6658962
99,6.1529,0.0082,201.5052951
100,6.1576,0.0045,201.3514892
