state,E_ex,osc,nm
1,1.8727,0.0034,662.0611577
2,2.0775,0.0004,596.7951528
3,2.0961,0.0226,591.499418
4,2.2042,0.0022,562.4906678
5,2.4182,0.0216,512.7127326
6,2.4949,0.0391,496.9505511
7,2.6357,0.0052,470.4032819
8,2.6572,0.0027,466.5971436
9,2.6952,0.0081,460.0185255
10,2.7697,0.0037,447.644846
11,2.872,0.0021,431.6998364
12,2.8916,0.0001,428.7736651
13,2.9226,0.0018,424.2256655
14,2.966,0.0039,418.0181827
15,3.0438,0.0007,407.3335732
16,3.0476,0.0004,406.8256759
17,3.0661,0.0014,404.3710023
18,3.1294,0.0054,396.1915799
19,3.2065,0.0016,386.6651895
20,3.2158,0.0003,385.546965
21,3.2223,0.0004,384.7692425
22,3.2289,0.0002,383.9827588
23,3.243,0.0003,382.3132686
24,3.2483,0.0035,381.6894776
25,3.3626,0.0001,368.715259
26,3.3669,0.0002,368.2443583
27,3.3708,0.0017,367.8183013
28,3.3933,0.0006,365.3794035
29,3.4139,0.0047,363.1746478
30,3.4216,0.0001,362.3573562
31,3.4285,0.0011,361.6280968
32,3.4729,0.0043,357.0047885
33,3.5198,0.0001,352.2478351
34,3.5341,0.0003,350.8225376
35,3.5436,0.0021,349.8820211
36,3.5543,0.0013,348.828723
37,3.5661,0.0013,347.6744707
38,3.5892,0.0027,345.4368467
39,3.6096,0.001,343.4845772
40,3.6349,0.0013,341.093821
41,3.691,0.0001,335.9094907
42,3.6968,0.0001,335.382474
43,3.7403,0.0005,331.481948
44,3.7435,0.0023,331.1985922
45,3.759,0.0009,329.8329157
46,3.7643,0.0006,329.3685227
47,3.7903,0.0014,327.1091813
48,3.8365,0.0001,323.1700586
49,3.8474,0.0004,322.2544913
50,3.8659,0,320.7123645
51,3.8758,0.0033,319.8931653
52,3.8782,0.0005,319.6952014
53,3.9035,0.0005,317.6231408
54,3.9058,0.0007,317.4361027
55,3.9135,0.0043,316.8115319
56,3.9191,0.004,316.35884
57,3.9358,0.001,315.0164973
58,3.9698,0.0014,312.3184871
59,4.0206,0.0019,308.3723648
60,4.0304,0.0013,307.6225511
61,4.0642,0.0026,305.0642021
62,4.0781,0.0066,304.024406
63,4.0801,0.0015,303.8753781
64,4.1061,0.0062,301.9512262
65,4.1194,0.0126,300.9763388
66,4.1573,0.0086,298.2324898
67,4.1716,0.001,297.2101664
68,4.2154,0.0108,294.1220121
69,4.2262,0.0023,293.3703871
70,4.2463,0.0007,291.9817088
71,4.2654,0.0054,290.6742463
72,4.3085,0.0111,287.7664918
73,4.3553,0.0072,284.6742888
74,4.3732,0.0008,283.5090849
75,4.3769,0.004,283.2694213
76,4.3958,0.0005,282.0514878
77,4.4019,0.0044,281.6606306
78,4.4068,0.006,281.3474471
79,4.4732,0.0013,277.171137
80,4.4899,0.0096,276.1402102
81,4.5182,0.0012,274.4105905
82,4.5442,0.0057,272.8405286
83,4.5482,0.0023,272.6005739
84,4.558,0.0012,272.0144647
85,4.5649,0.0005,271.6033057
86,4.5701,0.0062,271.2942671
87,4.5968,0.0003,269.7184846
88,4.6186,0.0043,268.4454012
89,4.6586,0.0266,266.1404564
90,4.6823,0.001,264.7933558
91,4.6865,0.0099,264.5560504
92,4.7055,0.0002,263.4878185
93,4.7138,0.0032,263.0238725
94,4.722,0.0085,262.5671177
95,4.7357,0.0142,261.8075321
96,4.7537,0.0064,260.8161916
97,4.7792,0.0022,259.4245752
98,4.7864,0.0007,259.0343327
99,4.7944,0.0035,258.6021045
100,4.8005,0.0012,258.2734986
