state,E_ex,osc,nm
1,1.9015,0.0014,652.0336208
2,2.0157,0.0019,615.092489
3,2.1186,0.0097,585.2175635
4,2.2217,0.0511,558.0600126
5,2.2767,0.0027,544.5785259
6,2.4346,0.0174,509.2589871
7,2.6324,0.0013,470.9929836
8,2.7666,0.0027,448.1464361
9,2.8208,0.0044,439.5355679
10,2.8721,0.0005,431.6848055
11,3.062,0.004,404.9124526
12,3.0871,0.0006,401.6202682
13,3.1509,0.0003,393.4881875
14,3.1551,0.0009,392.9643846
15,3.164,0.0012,391.8590171
16,3.2206,0.0001,384.9723437
17,3.2508,0.0123,381.3959425
18,3.2786,0.0021,378.161999
19,3.2998,0.0006,375.7324474
20,3.3424,0.0013,370.9436124
21,3.3469,0.0002,370.4448684
22,3.3508,0.0038,370.0137072
23,3.4156,0.0001,362.9938898
24,3.4202,0.0001,362.505681
25,3.4625,0.0034,358.0770917
26,3.4874,0.0005,355.520425
27,3.4888,0.0003,355.3777603
28,3.5179,0.0037,352.4380824
29,3.542,0.0089,350.0400706
30,3.5609,0.0014,348.1821815
31,3.6357,0.0003,341.0187667
32,3.6549,0.0003,339.2273195
33,3.6911,0.0002,335.9003901
34,3.697,0.0001,335.3643305
35,3.7188,0.0003,333.3983893
36,3.7237,0.0016,332.9596718
37,3.7605,0.0003,329.7013509
38,3.7702,0.0013,328.8530927
39,3.7964,0,326.5835871
40,3.8064,0.0025,325.7256016
41,3.8664,0.0005,320.6708902
42,3.8801,0.0001,319.5386536
43,3.9474,0.0021,314.0907762
44,3.9493,0.0018,313.9396678
45,3.9625,0.0023,312.8938625
46,3.99,0.0009,310.7373258
47,3.9911,0.0012,310.6516825
48,4.0097,0.0001,309.2106467
49,4.0222,0.0023,308.2496967
50,4.0297,0.0001,307.6759883
51,4.0553,0.0028,305.7337139
52,4.0646,0.0001,305.0341805
53,4.0722,0.0001,304.4648912
54,4.0862,0.0027,303.4217439
55,4.1199,0.0004,300.9398116
56,4.1252,0.0044,300.5531683
57,4.15,0.0102,298.7570916
58,4.1756,0.0043,296.925455
59,4.2139,0.0112,294.2267092
60,4.2522,0.005,291.5765792
61,4.2577,0.0004,291.1999272
62,4.3268,0.0109,286.5493968
63,4.3488,0.0128,285.0997815
64,4.3696,0.002,283.7426607
65,4.3757,0.0067,283.3471056
66,4.3885,0.003,282.5206631
67,4.4083,0.0014,281.2517138
68,4.4189,0.0018,280.5770508
69,4.4445,0.0017,278.9609472
70,4.4509,0.0022,278.5598261
71,4.4848,0.0143,276.4542298
72,4.5142,0.0047,274.6537437
73,4.5433,0.0019,272.8945766
74,4.552,0.0046,272.3730075
75,4.5644,0.0036,271.633058
76,4.5721,0.0029,271.1755933
77,4.5736,0.0059,271.086656
78,4.5784,0.0003,270.8024485
79,4.5859,0.0015,270.3595652
80,4.5895,0.0026,270.1474954
81,4.6063,0.0024,269.1622191
82,4.6158,0.0077,268.6082434
83,4.6264,0.0052,267.9928087
84,4.6536,0.0031,266.4264075
85,4.6572,0.0023,266.2204608
86,4.6668,0.0037,265.6728229
87,4.6812,0.0016,264.8555776
88,4.6936,0.0006,264.1558569
89,4.7123,0.002,263.1075971
90,4.7175,0.0011,262.8175792
91,4.722,0.0044,262.5671177
92,4.737,0.0017,261.7356829
93,4.738,0.0017,261.6804411
94,4.7476,0.0009,261.1513038
95,4.7516,0.0003,260.931461
96,4.7916,0.0031,258.7532202
97,4.8009,0.0049,258.2519798
98,4.8061,0.0018,257.972562
99,4.8093,0.0059,257.8009128
100,4.8141,0.0005,257.543867
