state,E_ex,osc,nm
1,0.5574,0,2224.330696
2,0.8005,0,1548.834391
3,1.2222,0.0001,1014.434569
4,1.4974,0.0022,827.9964806
5,1.7662,0.0004,701.9827483
6,1.9611,0.0031,632.2175973
7,2.2024,0.0016,562.9503859
8,2.3162,0.0017,535.2913954
9,2.6844,0.0045,461.869293
10,3.2603,0.0246,380.2846149
11,3.3421,0.0062,370.9769097
12,3.4601,0.0035,358.3254617
13,3.511,0.0141,353.130712
14,3.5958,0.0259,344.8028061
15,3.8157,0.0235,324.9317111
16,4.0659,0.0008,304.9366512
17,4.0774,0.0009,304.0766003
18,4.3006,0.0056,288.2951053
19,4.3894,0.0009,282.4627352
20,4.5242,0.0001,274.0466668
21,4.5498,0.0116,272.5047101
22,4.5585,0.0202,271.9846287
23,4.6404,0.0293,267.1842794
24,4.7114,0.0071,263.1578575
25,4.8585,0.0019,255.1902707
26,4.8738,0.0041,254.3891686
27,4.9872,0.0026,248.6048143
28,5.038,0.0063,246.0980409
29,5.0574,0.0093,245.1540179
30,5.1225,0.008,242.0384441
31,5.1478,0.001,240.8488927
32,5.1567,0.0012,240.4332092
33,5.1617,0.0021,240.200308
34,5.1852,0.0043,239.111689
35,5.2107,0.0117,237.9415299
36,5.2297,0.0001,237.0770656
37,5.2606,0.001,235.6845094
38,5.3408,0.009,232.1453584
39,5.3752,0.0036,230.6596834
40,5.39,0.002,230.0263321
41,5.3966,0.0029,229.7450117
42,5.4159,0.0262,228.9262966
43,5.4296,0.0001,228.3486684
44,5.4494,0.0025,227.5189801
45,5.4968,0.0036,225.5570386
46,5.5166,0.0066,224.7474767
47,5.5632,0.0039,222.8648853
48,5.5772,0.0005,222.3054454
49,5.6259,0.0076,220.3810821
50,5.6325,0.0017,220.122846
51,5.6468,0.0047,219.5654052
52,5.6781,0.0056,218.3550712
53,5.6878,0.0045,217.9826875
54,5.7089,0.0044,217.1770271
55,5.7277,0.0027,216.4641881
56,5.7297,0.0079,216.3886294
57,5.7588,0.0056,215.2951882
58,5.7603,0.0018,215.2391247
59,5.7647,0.0002,215.07484
60,5.7767,0.0095,214.6280627
61,5.7866,0,214.2608665
62,5.7989,0.0094,213.8063995
63,5.8326,0.0141,212.5710541
64,5.8348,0.0142,212.4909046
65,5.8508,0.0034,211.9098123
66,5.8687,0.0188,211.2634706
67,5.8761,0.0051,210.9974184
68,5.896,0.0086,210.2852663
69,5.918,0.0011,209.5035367
70,5.9249,0.0065,209.2595537
71,5.9299,0.0218,209.0831093
72,5.9356,0.0004,208.8823253
73,5.9435,0.008,208.6046824
74,5.9483,0.005,208.4363482
75,5.9525,0.0034,208.2892785
76,5.9665,0.0003,207.8005414
77,5.9753,0.0404,207.4945074
78,5.9941,0.0064,206.843718
79,6.0391,0.0026,205.3024341
80,6.0449,0.0269,205.1054492
81,6.045,0.0233,205.1020562
82,6.074,0.0077,204.122807
83,6.0777,0.0547,203.9985406
84,6.0813,0.0116,203.8777778
85,6.1175,0.0018,202.6713412
86,6.1212,0.0192,202.5488352
87,6.1319,0.0002,202.1953929
88,6.1439,0.0021,201.8004736
89,6.1567,0.0012,201.3809232
90,6.1604,0.0072,201.2599718
91,6.1693,0.0001,200.9696286
92,6.1743,0.0026,200.8068818
93,6.1794,0.0024,200.6411512
94,6.1971,0.0071,200.0680851
95,6.216,0.0053,199.4597699
96,6.225,0.006,199.1713944
97,6.2275,0.0004,199.091438
98,6.239,0.003,198.7244639
99,6.2511,0.0038,198.339801
100,6.2566,0.0149,198.1654461
