state,E_ex,osc,nm
1,2.12,0.0291,584.8310991
2,2.1885,0.0282,566.525899
3,2.2465,0.046,551.8993679
4,2.2651,0.0039,547.3674142
5,2.2852,0.0792,542.5529188
6,2.562,0.0103,483.9351795
7,2.9724,0.0141,417.1181301
8,2.9882,0.0006,414.912633
9,3.2563,0.006,380.751752
10,3.3742,0.0011,367.4476706
11,3.406,0.0005,364.0170082
12,3.4244,0.006,362.0610706
13,3.4974,0.0097,354.5038972
14,3.5375,0.0025,350.4853512
15,3.5772,0.0013,346.5956418
16,3.6752,0.0123,337.3535944
17,3.7071,0.01,334.4506299
18,3.7346,0.0009,331.9878782
19,3.8372,0.0646,323.1111045
20,3.902,0.0278,317.7452409
21,4.0013,0.0033,309.8597781
22,4.0364,0.0043,307.1652785
23,4.0548,0.0067,305.7714141
24,4.0814,0.0436,303.7785882
25,4.109,0.0349,301.7381188
26,4.127,0.0035,300.4220814
27,4.1412,0.0166,299.3919468
28,4.1546,0.0267,298.4263058
29,4.1746,0.4599,296.9965817
30,4.2139,0.0617,294.2267092
31,4.2416,0.0057,292.3052457
32,4.2629,0.0365,290.8447137
33,4.3014,0.0492,288.2414865
34,4.3171,0.0059,287.1932385
35,4.3519,0.0004,284.8966957
36,4.4054,0.0227,281.436857
37,4.4677,0.0081,277.5123509
38,4.4916,0.008,276.0356955
39,4.5181,0.0228,274.4166641
40,4.5292,0.0032,273.7441336
41,4.5347,0.0068,273.4121177
42,4.5708,0.0178,271.2527194
43,4.5837,0.008,270.4893274
44,4.5945,0.0033,269.8535053
45,4.5999,0.0173,269.5367138
46,4.6134,0.002,268.7479798
47,4.648,0.005,266.7474032
48,4.6756,0.0039,265.1727971
49,4.7621,0.0117,260.3561307
50,4.7741,0.0072,259.7017092
51,4.7804,0.0582,259.3594532
52,4.7909,0.0502,258.7910267
53,4.818,0.0042,257.3353944
54,4.8452,0.0014,255.8907641
55,4.8556,0.0008,255.3426827
56,4.8969,0.0567,253.1891462
57,4.954,0.0006,250.2708781
58,4.9665,0.0013,249.6409806
59,4.9883,0.0022,248.549993
60,4.9934,0.0015,248.2961369
61,5.0303,0.0005,246.474749
62,5.0348,0.0016,246.254455
63,5.0595,0.0004,245.0522641
64,5.075,0.0047,244.3038286
65,5.112,0.0076,242.5355888
66,5.1242,0.1672,241.9581457
67,5.1464,0.0536,240.914412
68,5.1528,0.0027,240.6151859
69,5.1645,0.0005,240.0700804
70,5.1771,0.0301,239.485799
71,5.1879,0.0032,238.9872453
72,5.1941,0.012,238.7019753
73,5.1974,0.0013,238.5504156
74,5.2074,0.0025,238.0923167
75,5.2146,0.0015,237.7635734
76,5.2188,0.0079,237.5722254
77,5.2233,0.0066,237.3675512
78,5.2299,0.0234,237.0679994
79,5.2393,0.0023,236.6426679
80,5.2531,0.0147,236.0210028
81,5.2602,0.0006,235.7024315
82,5.2621,0.0864,235.6173258
83,5.2784,0.0021,234.8897261
84,5.2838,0.0058,234.6496707
85,5.3035,0.0132,233.7780579
86,5.3079,0.0021,233.5842668
87,5.3178,0.0032,233.1494095
88,5.3299,0.1214,232.6201111
89,5.3325,0.0255,232.506691
90,5.3406,0.032,232.154052
91,5.3606,0.1553,231.2879025
92,5.3687,0.1178,230.938948
93,5.3846,0.5653,230.2570163
94,5.4356,0.13,228.0966094
95,5.4416,0.0057,227.8451062
96,5.4525,0.0094,227.3896249
97,5.4699,0.0001,226.6662882
98,5.499,0.0068,225.4667994
99,5.5153,0.0378,224.8004515
100,5.5262,0.0157,224.3570501
