state,E_ex,osc,nm
1,2.1901,0.0081,566.1120177
2,2.2463,0.0935,551.9485064
3,2.2875,0.0029,542.0074011
4,2.307,0.0058,537.4260642
5,2.3366,0.0763,530.617962
6,2.6461,0.0129,468.5544499
7,2.9972,0.0038,413.6667323
8,3.0197,0.0021,410.584472
9,3.3168,0.0064,373.80666
10,3.3738,0.0014,367.4912354
11,3.398,0.0011,364.874023
12,3.4839,0.0089,355.8775883
13,3.5274,0.0172,351.4888955
14,3.5371,0.007,350.5249866
15,3.6568,0.0226,339.0510638
16,3.6942,0.0017,335.6185182
17,3.6972,0.0044,335.346189
18,3.7071,0.001,334.4506299
19,3.9037,0.0057,317.6068678
20,3.9499,0.0074,313.8919795
21,4.0389,0.0866,306.9751492
22,4.0676,0.0063,304.8092069
23,4.0747,0.0015,304.2780892
24,4.1041,0.0117,302.0983724
25,4.1143,0.0086,301.3494227
26,4.141,0.0531,299.4064067
27,4.1463,0.0081,299.023691
28,4.2074,0.0185,294.6812592
29,4.2112,0.0541,294.4153519
30,4.2395,0.088,292.4500366
31,4.2606,0.3223,291.0017204
32,4.2812,0.0239,289.6014972
33,4.3359,0.0284,285.9479993
34,4.3706,0.0286,283.6777399
35,4.3742,0.0208,283.444271
36,4.4073,0.0252,281.3155288
37,4.4562,0.0245,278.2285198
38,4.5079,0.0046,275.0375851
39,4.519,0.0013,274.3620115
40,4.54,0.0175,273.0929361
41,4.5498,0.0069,272.5047101
42,4.5767,0.026,270.9030371
43,4.5798,0.0006,270.7196668
44,4.5974,0.0273,269.683284
45,4.6278,0.0378,267.9117356
46,4.643,0.0173,267.0346608
47,4.6553,0.0141,266.3291152
48,4.7289,0.0047,262.1840026
49,4.7483,0.0111,261.1128046
50,4.7593,0.0036,260.5093039
51,4.7661,0.0629,260.1376241
52,4.8075,0.0009,257.8974373
53,4.8269,0.0165,256.8609107
54,4.8363,0.0103,256.361667
55,4.8455,0.0001,255.8749211
56,4.8611,0.0715,255.05378
57,4.9362,0.0008,251.173358
58,4.9407,0.011,250.9445888
59,4.9903,0.0076,248.4503797
60,5.0022,0.0025,247.8593279
61,5.0275,0.0029,246.6120199
62,5.0452,0.0079,245.7468346
63,5.0618,0.0032,244.9409163
64,5.0726,0.0003,244.4194161
65,5.1038,0.0329,242.9252577
66,5.1182,0.0316,242.2417901
67,5.1576,0.0196,240.3912537
68,5.1695,0.003,239.8378818
69,5.1741,0.0012,239.6246555
70,5.1925,0.0144,238.7755282
71,5.2034,0.0001,238.275345
72,5.2177,0.0042,237.6223106
73,5.2278,0.0242,237.1632293
74,5.2332,0.0105,236.9185068
75,5.2367,0.028,236.76016
76,5.2443,0.0039,236.417049
77,5.2658,0.0049,235.4517699
78,5.2724,0.0064,235.157031
79,5.279,0.0082,234.863029
80,5.2894,0.0036,234.4012421
81,5.3015,0.0175,233.8662511
82,5.3125,0.0217,233.3820104
83,5.3311,0.0144,232.5677496
84,5.339,0.1069,232.2236243
85,5.3433,0.2587,232.0367432
86,5.3469,0.0438,231.8805158
87,5.3495,0.0516,231.7678157
88,5.3532,0.0294,231.6076235
89,5.3663,0.0157,231.0422321
90,5.3883,0.0147,230.098905
91,5.3989,0.0577,229.6471374
92,5.4046,0.0177,229.4049384
93,5.4137,0.0468,229.0193269
94,5.4325,0.0163,228.2267704
95,5.4379,0.0206,228.0001342
96,5.4589,0.671,227.1230339
97,5.466,0.0054,226.828015
98,5.4737,0.2645,226.50893
99,5.4794,0.0639,226.2733018
100,5.4899,0.0086,225.8405308
101,5.5077,0.0246,225.1106505
