state,E_ex,osc,nm
1,2.2996,0.0001,539.1554749
2,2.3897,0.0047,518.8274386
3,2.5069,0.0045,494.571754
4,2.5412,0.0584,487.8962419
5,2.5869,0.0014,479.2771
6,2.7762,0.0374,446.5967618
7,2.9883,0.0037,414.8987485
8,3.1437,0.0003,394.3893915
9,3.2549,0.0037,380.9155212
10,3.6262,0.0006,341.9121753
11,3.6493,0.0047,339.7478777
12,3.7076,0.0045,334.4055265
13,3.7975,0.0011,326.4889875
14,3.806,0.0019,325.7598345
15,3.9762,0.0005,311.8157864
16,3.9848,0.0044,311.1428252
17,4.0797,0.0022,303.9051719
18,4.1879,0.0001,296.0533752
19,4.2486,0.0013,291.8236431
20,4.2846,0.0002,289.371687
21,4.3236,0.0131,286.7614789
22,4.3913,0.0193,282.340521
23,4.4379,0.0051,279.3758151
24,4.4866,0.0028,276.3433179
25,4.5223,0.028,274.1618048
26,4.5789,0.0026,270.7728778
27,4.6021,0.001,269.4078638
28,4.6726,0.0039,265.3430488
29,4.7956,0.0007,258.5373947
30,4.8266,0.0077,256.8768761
31,4.9014,0.0003,252.956692
32,4.9301,0.0028,251.4841342
33,5.0254,0.0127,246.7150734
34,5.0548,0.0144,245.2801159
35,5.0808,0.0012,244.0249429
36,5.1258,0.0998,241.8826193
37,5.1635,0.0056,240.116574
38,5.1769,0.0099,239.4950511
39,5.196,0.0182,238.6146901
40,5.2101,0.1484,237.9689315
41,5.3242,0.0339,232.8691503
42,5.3626,0.0198,231.2016429
43,5.3655,0.0337,231.0766806
44,5.4106,0.0003,229.1505434
45,5.4402,0.0144,227.9037407
46,5.4487,0.0031,227.5482097
47,5.4863,0.2041,225.9887228
48,5.4968,0.0607,225.5570386
49,5.5123,0.0634,224.9227963
50,5.5325,0.0016,224.1015689
51,5.5546,0.0141,223.2099395
52,5.5591,0.0027,223.0292547
53,5.5983,0.0019,221.4675759
54,5.6511,0.0004,219.3983348
55,5.668,0.0033,218.7441655
56,5.6987,0.0411,217.5657483
57,5.7065,0.0004,217.2683659
58,5.7191,0.0001,216.7896924
59,5.7218,0.0002,216.6873938
60,5.7306,0.0208,216.3546452
61,5.7332,0.0074,216.2565286
62,5.7442,0.0075,215.8424028
63,5.7594,0,215.2727593
64,5.763,0.0002,215.1382839
65,5.7757,0.0028,214.6652233
66,5.7804,0.0019,214.4906806
67,5.7857,0.0066,214.294196
68,5.7892,0.0165,214.1646393
69,5.7946,0.0058,213.9650588
70,5.7978,0.0146,213.8469644
71,5.818,0.0209,213.1044912
72,5.8326,0.008,212.5710541
73,5.8428,0.0002,212.1999606
74,5.8513,0.0184,211.8917044
75,5.8628,0.0358,211.4760746
76,5.88,0.0069,210.8574711
77,5.9001,0.0348,210.1391383
78,5.9136,0.0015,209.6594173
79,5.9203,0.0239,209.4221458
80,5.9267,0.0015,209.1959995
81,5.9343,0.0093,208.9280842
82,5.9398,0.0167,208.7346257
83,5.9443,0.0394,208.5766078
84,5.9549,0.0167,208.2053317
85,5.9748,0.0009,207.5118715
86,5.9787,0.0008,207.3765083
87,6.0165,0.0474,206.0736192
88,6.0362,0.0007,205.4010686
89,6.0385,0.0234,205.3228335
90,6.0446,0.0009,205.1156288
91,6.0609,0.0017,204.5639971
92,6.0675,0.0077,204.34148
93,6.0825,0.0082,203.8375553
94,6.087,0.0085,203.6868622
95,6.1158,0.0067,202.7276775
96,6.1229,0.0066,202.4925983
97,6.1325,0.0028,202.1756103
98,6.1488,0.0146,201.6396581
99,6.1587,0.0058,201.315526
100,6.1651,0.0004,201.10654
