state,E_ex,osc,nm
1,2.4909,0.0038,497.7485768
2,2.6612,0.0236,465.8958102
3,2.7455,0.0046,451.5905773
4,2.7992,0.0023,442.9272399
5,2.9846,0.016,415.4130972
6,3.0833,0.0465,402.1152434
7,3.291,0.0025,376.7371407
8,3.3279,0.0025,372.5598516
9,3.4756,0.0018,356.7274514
10,3.5312,0.0018,351.1106508
11,3.5801,0.0023,346.3148879
12,3.6205,0.0032,342.4504709
13,3.788,0.001,327.3077957
14,3.822,0.002,324.3961094
15,3.983,0.0139,311.2834371
16,4.0432,0.004,306.6486768
17,4.1169,0.0005,301.1591076
18,4.1923,0.0017,295.7426544
19,4.2423,0.0085,292.2570139
20,4.3131,0.0078,287.4595836
21,4.4022,0.001,281.6414361
22,4.4354,0.0002,279.5332845
23,4.4633,0.005,277.7859275
24,4.5205,0.0085,274.2709722
25,4.5315,0.0013,273.6051925
26,4.5595,0.0024,271.9249764
27,4.6708,0.0027,265.4453049
28,4.712,0.0048,263.1243485
29,4.7359,0.0229,261.7964759
30,4.8341,0.018,256.4783372
31,4.8492,0.0051,255.6796853
32,4.902,0.0056,252.9257303
33,4.9502,0.0345,250.4629975
34,5.014,0.0021,247.2760132
35,5.1178,0.0062,242.2607234
36,5.1878,0.0087,238.991852
37,5.2003,0.0026,238.4173855
38,5.2034,0.0049,238.275345
39,5.2164,0.0169,237.6815294
40,5.2329,0.0011,236.9320893
41,5.2707,0.0217,235.232878
42,5.2939,0.0297,234.2019929
43,5.3473,0.0039,231.8631702
44,5.3712,0.0011,230.8314585
45,5.3735,0.0053,230.7326566
46,5.3858,0.0042,230.2057132
47,5.4165,0.0006,228.9009379
48,5.4322,0.0018,228.2393745
49,5.4541,0.0013,227.3229185
50,5.4662,0.0082,226.8197157
51,5.5101,0.0003,225.0126005
52,5.5213,0.0067,224.5561607
53,5.5327,0,224.0934679
54,5.5446,0.0012,223.6125113
55,5.5507,0.0002,223.36677
56,5.577,0.0034,222.3134176
57,5.6015,0.0004,221.3410569
58,5.6191,0.0192,220.6477781
59,5.6219,0.012,220.537884
60,5.6279,0.0171,220.3027648
61,5.6411,0.0096,219.7872631
62,5.6769,0.0038,218.4012278
63,5.6847,0.0007,218.1015586
64,5.7148,0.023,216.952812
65,5.7316,0.0002,216.3168976
66,5.7356,0.0017,216.1660384
67,5.7463,0.0013,215.7635226
68,5.7483,0.0025,215.6884522
69,5.7562,0.0001,215.3924342
70,5.7765,0.0021,214.6354938
71,5.7906,0.0187,214.1128605
72,5.796,0,213.9133765
73,5.8199,0.0386,213.0349198
74,5.8263,0.0034,212.800908
75,5.8415,0.0054,212.2471848
76,5.8479,0.0046,212.0148994
77,5.8525,0.0011,211.848258
78,5.8633,0.0051,211.4580407
79,5.9083,0.0069,209.8474908
80,5.9166,0.0431,209.5531099
81,5.9256,0.0002,209.2348336
82,5.9371,0.0606,208.8295515
83,5.9442,0.0334,208.5801168
84,5.9502,0.0035,208.3697909
85,5.9662,0.0074,207.8109902
86,5.9855,0.0493,207.1409122
87,5.9951,0.0074,206.8092159
88,6.0038,0.0071,206.5095323
89,6.0086,0.0003,206.3445611
90,6.0134,0.0169,206.1798533
91,6.0273,0.0045,205.7043668
92,6.0548,0.0069,204.7700882
93,6.0578,0.0004,204.66868
94,6.0592,0.011,204.6213906
95,6.0755,0.0224,204.0724105
96,6.0843,0.0228,203.7772513
97,6.0981,0.0014,203.3161034
98,6.1017,0.0003,203.196147
99,6.1111,0.0034,202.8835938
100,6.1171,0.0037,202.684594
