state,E_ex,osc,nm
1,2.4377,0.0085,508.6113673
2,2.4975,0.0219,496.4332052
3,2.5271,0.0314,490.6184678
4,2.5915,0.1023,478.426367
5,2.6593,0.0048,466.2286805
6,2.8306,0.0194,438.0138239
7,3.0332,0.0053,408.7570651
8,3.1258,0.0067,396.6478757
9,3.5554,0.0027,348.7207993
10,3.5814,0.0028,346.1891802
11,3.6597,0.0011,338.7823947
12,3.7541,0.0044,330.2634267
13,3.8228,0.0043,324.3282228
14,3.8404,0.0011,322.8418732
15,3.9247,0.0107,315.9074401
16,3.955,0.0259,313.4872137
17,4.0153,0.0372,308.7794013
18,4.1058,0.0577,301.973289
19,4.1215,0.0087,300.8229844
20,4.1322,0.0212,300.0440274
21,4.1418,0.0741,299.3485755
22,4.1955,0.0426,295.517085
23,4.2284,0.0774,293.217749
24,4.2509,0.0241,291.6657484
25,4.2684,0.1755,290.4699489
26,4.2927,0.0728,288.8256645
27,4.3417,0.041,285.5660064
28,4.3991,0.0149,281.8399059
29,4.404,0.0246,281.5263238
30,4.4206,0.0075,280.4691512
31,4.424,0.0073,280.2536008
32,4.438,0.0144,279.3695201
33,4.4544,0.0039,278.3409505
34,4.4859,0.0302,276.3864397
35,4.4954,0.0234,275.8023602
36,4.5337,0.0098,273.4724243
37,4.542,0.021,272.9726838
38,4.5713,0.0244,271.2230503
39,4.6126,0.02,268.7945909
40,4.6412,0.0009,267.138225
41,4.6727,0.0207,265.3373703
42,4.6928,0.01,264.2008886
43,4.7141,0.0276,263.0071339
44,4.7259,0.0169,262.350437
45,4.7633,0.0376,260.2905402
46,4.7655,0.0031,260.1703767
47,4.7861,0.0448,259.0505694
48,4.8434,0.0001,255.9858632
49,4.8554,0.0028,255.3532006
50,4.8732,0.0174,254.4204896
51,4.883,0.0044,253.9098771
52,4.9005,0.0005,253.0031487
53,4.9122,0.0339,252.4005395
54,4.9156,0.0001,252.2259602
55,4.943,0.0036,250.8278232
56,4.9809,0.0083,248.9192576
57,5.0187,0.0011,247.0444398
58,5.0317,0.0159,246.4061709
59,5.0449,0.0042,245.7614482
60,5.0552,0.0011,245.2607078
61,5.0586,0.0063,245.0958625
62,5.089,0.0063,243.631741
63,5.1006,0.0032,243.0776634
64,5.112,0.0311,242.5355888
65,5.119,0.0038,242.2039324
66,5.128,0.0008,241.7788475
67,5.1379,0.0061,241.3129742
68,5.1784,0.0006,239.4256778
69,5.1981,0.0076,238.5182913
70,5.2085,0.0012,238.0420332
71,5.2325,0.034,236.9502016
72,5.2509,0.0082,236.1198899
73,5.2738,0.0001,235.0946054
74,5.285,0.0002,234.5963917
75,5.3109,0.0752,233.4523207
76,5.3254,0.0223,232.8166767
77,5.3294,0.0128,232.6419353
78,5.3419,0.0582,232.0975552
79,5.3431,0.1621,232.0454287
80,5.3576,0.0373,231.4174126
81,5.3681,0.017,230.9647603
82,5.3818,0.1744,230.3768126
83,5.3956,0.0138,229.7875917
84,5.4083,0.1453,229.2479947
85,5.412,0.0052,229.0912657
86,5.435,0.0001,228.1217902
87,5.4403,0.0015,227.8995515
88,5.4473,0.0013,227.6066914
89,5.4501,0.0171,227.489758
90,5.4566,0.0048,227.2187681
91,5.4572,0.0102,227.1937862
92,5.4652,0.0035,226.8612183
93,5.4756,0.0014,226.4303327
94,5.4845,0.0035,226.0628918
95,5.4871,0.0001,225.9557745
96,5.5004,0.0067,225.409412
97,5.5017,0.0062,225.3561499
98,5.5124,0.0058,224.918716
99,5.5204,0.0495,224.5927705
100,5.5248,0.0017,224.4139028
