state,E_ex,osc,nm
1,0.8142,0.0001,1522.773188
2,0.9615,0,1289.487187
3,1.3776,0.0009,900.001401
4,1.3916,0.0014,890.9470609
5,1.7126,0.0054,723.953013
6,1.8694,0.0005,663.2298759
7,1.986,0.0007,624.291002
8,2.2092,0.001,561.2176037
9,2.3311,0.0022,531.8699026
10,2.4393,0.012,508.2777559
11,2.6032,0.0309,476.2760948
12,2.8174,0.0019,440.0659935
13,2.8452,0.0395,435.7661781
14,2.9553,0.0036,419.5316651
15,3.1531,0.0013,393.2136405
16,3.1922,0.0001,388.3973216
17,3.2805,0.0095,377.9429752
18,3.3948,0.0016,365.2179598
19,3.4198,0,362.5480818
20,3.4425,0.0005,360.1574234
21,3.4976,0.0012,354.4836259
22,3.5771,0.005,346.6053311
23,3.6162,0.0009,342.8576766
24,3.6222,0.0002,342.2897493
25,3.6659,0.0043,338.2094247
26,3.7425,0.0122,331.2870888
27,3.7741,0.0007,328.5132694
28,3.7785,0.0023,328.1307212
29,3.7893,0.001,327.1955058
30,3.8197,0.0013,324.5914417
31,3.8385,0.0041,323.0016751
32,3.8418,0.0001,322.7242256
33,3.919,0.0021,316.3669125
34,3.9303,0.0012,315.4573264
35,3.9344,0.0011,315.1285914
36,3.9434,0.0011,314.4093752
37,3.9612,0.0014,312.996549
38,3.9851,0.0043,311.1194023
39,3.994,0.0002,310.4261217
40,4.0155,0.0001,308.7640219
41,4.0185,0.0001,308.533515
42,4.0437,0.0016,306.6107599
43,4.0773,0.0207,304.0840581
44,4.0843,0.011,303.5628945
45,4.1084,0.0023,301.7821853
46,4.1417,0.0052,299.3558032
47,4.1501,0.0004,298.7498928
48,4.1637,0.0013,297.7740783
49,4.1768,0.0009,296.840148
50,4.1878,0.0003,296.0604446
51,4.195,0.0023,295.5523075
52,4.2112,0.0017,294.4153519
53,4.2293,0.0024,293.1553519
54,4.2494,0.0032,291.7687038
55,4.2584,0.0035,291.1520595
56,4.2637,0.0012,290.7901424
57,4.3086,0.0023,287.7598129
58,4.3113,0.0037,287.5796001
59,4.3507,0.0001,284.9752752
60,4.3542,0.0002,284.746206
61,4.3611,0.0031,284.2956892
62,4.3632,0.0005,284.1588582
63,4.3879,0.0062,282.5592949
64,4.4036,0.0009,281.5518962
65,4.4107,0.0006,281.0986759
66,4.4243,0.0015,280.2345976
67,4.4368,0.0021,279.4450798
68,4.4464,0.0031,278.8417439
69,4.4578,0.0017,278.1286576
70,4.4602,0.0001,277.9789987
71,4.4939,0.0004,275.8944191
72,4.5226,0.0006,274.1436187
73,4.534,0.0027,273.4543295
74,4.5386,0.0008,273.1771758
75,4.543,0.0019,272.9125974
76,4.5524,0.0001,272.3490752
77,4.5587,0.0004,271.9726962
78,4.5635,0.0006,271.6866287
79,4.5659,0.0017,271.5438205
80,4.592,0.0018,270.0004203
81,4.5963,0.0002,269.7478254
82,4.6025,0.0012,269.3844498
83,4.6068,0.0004,269.1330056
84,4.6115,0.0024,268.8587076
85,4.6322,0.0054,267.6572536
86,4.641,0.0022,267.1497371
87,4.6463,0.0023,266.8450014
88,4.6572,0.0009,266.2204608
89,4.6639,0.0106,265.8380175
90,4.6796,0.0084,264.9461343
91,4.6892,0.0009,264.4037213
92,4.6904,0.0001,264.3360758
93,4.6947,0.0052,264.0939634
94,4.7006,0.0006,263.7624835
95,4.703,0.0072,263.6278822
96,4.7068,0.0002,263.4150442
97,4.7104,0.0008,263.2137249
98,4.7179,0.0142,262.7952966
99,4.7259,0.0025,262.350437
100,4.7452,0.0008,261.2833874
