state,E_ex,osc,nm
1,2.4521,0.0058,505.6245382
2,2.5211,0.0236,491.7860973
3,2.54,0.0141,488.1267441
4,2.6147,0.127,474.1813325
5,2.692,0.0035,460.5653529
6,2.8701,0.0168,431.9856207
7,2.9911,0.0133,414.5103574
8,3.0221,0.0043,410.2584064
9,3.4916,0.0048,355.0927741
10,3.6356,0.0036,341.0281467
11,3.6403,0.004,340.5878444
12,3.7186,0.0049,333.4163207
13,3.8145,0.0023,325.0339311
14,3.8309,0.0018,323.6424678
15,3.8917,0.0077,318.586204
16,3.9246,0.0551,315.9154895
17,3.9983,0.0073,310.0922717
18,4.0682,0.0128,304.764252
19,4.0834,0.0206,303.6298011
20,4.0987,0.0134,302.4963842
21,4.1126,0.1039,301.4739897
22,4.174,0.2333,297.0392741
23,4.1928,0.0442,295.7073865
24,4.2086,0.0633,294.5972366
25,4.249,0.1605,291.7961709
26,4.2946,0.0266,288.6978834
27,4.3613,0.0117,284.282652
28,4.4051,0.0311,281.4560237
29,4.4245,0.0096,280.2219302
30,4.4318,0.0003,279.7603525
31,4.4402,0.0004,279.2311
32,4.4532,0.0036,278.4159548
33,4.473,0.008,277.1835301
34,4.5129,0.0392,274.7328614
35,4.5156,0.0044,274.5685911
36,4.5259,0.056,273.9437305
37,4.5663,0.0029,271.5200337
38,4.5917,0.0078,270.0180608
39,4.6123,0.0095,268.8120742
40,4.6406,0.0016,267.1727643
41,4.6704,0.0012,265.4680391
42,4.6834,0.0045,264.7311633
43,4.7071,0.0185,263.3982558
44,4.7498,0.0204,261.0303444
45,4.7839,0.0365,259.1697005
46,4.7967,0.0217,258.4781058
47,4.8261,0.0046,256.9034894
48,4.8554,0.0003,255.3532006
49,4.8678,0.0025,254.7027261
50,4.8737,0.0245,254.3943882
51,4.8853,0.0034,253.7903363
52,4.8898,0.0188,253.5567774
53,4.8983,0,253.1167813
54,4.9117,0.057,252.4262333
55,4.9301,0.0023,251.4841342
56,4.9508,0.0296,250.4326432
57,5.0043,0.0028,247.7553164
58,5.0293,0.0177,246.5237568
59,5.0458,0.003,245.7176127
60,5.0573,0.0014,245.1588654
61,5.0724,0.0118,244.4290533
62,5.0807,0.0338,244.0297459
63,5.1019,0.0002,243.0157255
64,5.1112,0.0155,242.5735502
65,5.1192,0.0003,242.1944698
66,5.1359,0.0224,241.4069452
67,5.1412,0.0032,241.1580818
68,5.1476,0.0003,240.8582504
69,5.175,0.0037,239.5829816
70,5.1839,0.0012,239.1716526
71,5.2085,0.016,238.0420332
72,5.2301,0.0072,237.0589339
73,5.2467,0,236.3089046
74,5.2552,0.006,235.9266879
75,5.2755,0.0555,235.0188475
76,5.2782,0.0197,234.8986264
77,5.3117,0.013,233.4171602
78,5.3224,0.2134,232.9479051
79,5.3274,0.0059,232.7292732
80,5.3342,0.004,232.4325916
81,5.3474,0.1522,231.8588342
82,5.366,0.027,231.0551491
83,5.3736,0.0882,230.7283627
84,5.3975,0.0307,229.7067031
85,5.4022,0.0665,229.5068546
86,5.4084,0.0778,229.243756
87,5.4235,0.0349,228.6055001
88,5.4281,0.001,228.4117702
89,5.4374,0.0068,228.0211002
90,5.4395,0.0011,227.9330692
91,5.4501,0.0021,227.489758
92,5.4649,0.0086,226.873672
93,5.4731,0.0181,226.5337615
94,5.479,0.1374,226.2898211
95,5.4853,0.0483,226.0299218
96,5.4975,0.0021,225.5283183
97,5.5016,0.0155,225.3602461
98,5.5103,0.0106,225.0044335
99,5.522,0.0003,224.5276947
100,5.5259,0.0307,224.3692304
