state,E_ex,osc,nm
1,2.2916,0.0004,541.0376724
2,2.3667,0.0035,523.8694934
3,2.5439,0.0558,487.3784072
4,2.5587,0.0073,484.5593192
5,2.5973,0.0017,477.3579987
6,2.8359,0.0362,437.195222
7,3.0497,0.0049,406.5455389
8,3.3551,0.0006,369.5394862
9,3.4567,0.0076,358.6779096
10,3.6065,0.0038,343.7798225
11,3.6337,0.0024,341.2064645
12,3.7054,0.0043,334.6040724
13,3.7659,0.0048,329.2285855
14,3.7967,0.0014,326.5577818
15,3.9274,0.001,315.6902607
16,4.0282,0.0033,307.7905591
17,4.0335,0.0016,307.3861237
18,4.244,0.0005,292.1399458
19,4.2633,0.0006,290.8174255
20,4.3414,0.0012,285.5857396
21,4.355,0.0091,284.693899
22,4.3824,0.0127,282.9139125
23,4.4247,0.0171,280.2092639
24,4.5611,0.0027,271.8295872
25,4.5753,0.0054,270.985931
26,4.5812,0.0015,270.6369357
27,4.6298,0.0004,267.796002
28,4.702,0.0147,263.6839494
29,4.7248,0.0011,262.4115158
30,4.7436,0.0016,261.3715174
31,4.8079,0.0005,257.8759812
32,4.8447,0.0009,255.9171734
33,4.9212,0.0057,251.9389438
34,4.9318,0.0017,251.3974472
35,4.9705,0.0019,249.4400825
36,5.0079,0.0927,247.577214
37,5.0365,0.0775,246.1713353
38,5.1007,0.1588,243.0728978
39,5.1369,0.0029,241.3599506
40,5.1686,0.0184,239.8796444
41,5.1777,0.0009,239.458047
42,5.1833,0.0187,239.1993383
43,5.2345,0.0174,236.8596676
44,5.2645,0.0016,235.5099117
45,5.293,0.0796,234.2418156
46,5.3275,0.0043,232.7249047
47,5.3583,0.0007,231.3871806
48,5.3823,0.0082,230.3554113
49,5.3957,0.0008,229.783333
50,5.4024,0.0246,229.4983581
51,5.442,0.1574,227.8283591
52,5.5057,0,225.1924242
53,5.518,0.0087,224.6904549
54,5.5509,0.0192,223.358722
55,5.5627,0.0003,222.8849174
56,5.5883,0.0003,221.8638817
57,5.5907,0.0002,221.768639
58,5.6072,0.0178,221.1160526
59,5.6107,0.0344,220.9781186
60,5.648,0.0035,219.5187553
61,5.6596,0.0095,219.0688264
62,5.6669,0.0006,218.7866258
63,5.6729,0.0091,218.555224
64,5.6822,0.0237,218.1975168
65,5.6943,0.0028,217.7338619
66,5.7013,0.0029,217.4665304
67,5.7234,0.0028,216.626818
68,5.729,0.0001,216.4150689
69,5.7341,0.0015,216.2225859
70,5.7546,0.0061,215.4523216
71,5.7558,0.0042,215.407403
72,5.7594,0,215.2727593
73,5.7607,0.0055,215.2241794
74,5.7767,0.002,214.6280627
75,5.786,0.0002,214.283085
76,5.7894,0.0031,214.1572408
77,5.8007,0.0036,213.7400538
78,5.8053,0.0264,213.5706906
79,5.8072,0.0044,213.5008145
80,5.8203,0.0128,213.020279
81,5.8434,0.0522,212.178172
82,5.8527,0.033,211.8410187
83,5.87,0.0122,211.2166831
84,5.8906,0.0117,210.4780379
85,5.8969,0.0023,210.253172
86,5.9151,0.0476,209.6062501
87,5.9293,0.0131,209.1042669
88,5.9386,0.0017,208.7768043
89,5.9424,0.0662,208.6432973
90,5.9561,0.0117,208.1633838
91,5.9584,0.0012,208.0830307
92,5.9721,0.0012,207.6056881
93,5.9906,0.0006,206.9645662
94,6.0078,0.0185,206.372038
95,6.0476,0.0001,205.0138782
96,6.0566,0.0082,204.7092313
97,6.0718,0.0002,204.196767
98,6.0829,0.0068,203.8241513
99,6.0885,0.0145,203.6366806
100,6.0956,0.0008,203.3994898
