state,E_ex,osc,nm
1,2.4819,0.0004,499.5535396
2,2.5486,0.0466,486.4796084
3,2.6006,0.0532,476.752261
4,2.688,0.0567,461.250718
5,2.7164,0.01,456.4283353
6,2.8787,0.0124,430.6950811
7,2.9716,0.0138,417.2304247
8,3.0129,0.0135,411.5111454
9,3.5335,0.0006,350.8821084
10,3.5993,0.0015,344.4675159
11,3.6257,0.0079,341.9593265
12,3.6534,0.002,339.3665982
13,3.6987,0.011,335.2101901
14,3.729,0.0031,332.4864387
15,3.8205,0.0068,324.5234734
16,3.8457,0.0011,322.3969446
17,3.9546,0.0258,313.5189223
18,4.006,0.0007,309.4962381
19,4.0362,0.1223,307.180499
20,4.0752,0.015,304.2407563
21,4.1119,0.0301,301.5253119
22,4.1337,0.1251,299.9351501
23,4.1531,0.3046,298.5340902
24,4.1851,0.0966,296.2514468
25,4.3076,0.0245,287.8266157
26,4.3492,0.0154,285.0735607
27,4.3802,0.0037,283.0560089
28,4.4312,0.0249,279.798233
29,4.4468,0.004,278.8166614
30,4.4729,0.0092,277.189727
31,4.4761,0.0072,276.9915619
32,4.4876,0.0352,276.2817386
33,4.4976,0.0147,275.6674515
34,4.5238,0.0313,274.0708984
35,4.5293,0.0055,273.7380898
36,4.5667,0.0052,271.4962511
37,4.581,0.0034,270.6487514
38,4.6116,0.0123,268.8528775
39,4.636,0.0007,267.4378624
40,4.6548,0.0089,266.3577232
41,4.668,0.0249,265.6045266
42,4.6851,0.0203,264.6351049
43,4.7382,0.0197,261.6693956
44,4.773,0.0325,259.7615609
45,4.7955,0.0132,258.5427859
46,4.8033,0.0235,258.1229426
47,4.8203,0.0011,257.2126071
48,4.8453,0.0269,255.8854828
49,4.8547,0.0005,255.39002
50,4.8677,0.0005,254.7079586
51,4.8869,0.0052,253.7072439
52,4.8913,0.0047,253.4790199
53,4.8988,0.0019,253.0909468
54,4.9119,0.0203,252.4159551
55,4.9271,0.0279,251.6372572
56,4.9332,0.0078,251.3261027
57,4.9515,0.0486,250.3972392
58,4.9552,0.0317,250.21027
59,5.0275,0.0003,246.6120199
60,5.0413,0.0199,245.9369468
61,5.0542,0.0065,245.3092339
62,5.0676,0.0035,244.660575
63,5.0719,0.0013,244.4531497
64,5.0771,0.0083,244.2027791
65,5.1071,0.0071,242.7682892
66,5.1236,0.0015,241.9864802
67,5.1406,0.003,241.1862292
68,5.1525,0.0023,240.6291955
69,5.1547,0.0002,240.5264962
70,5.1805,0.0095,239.3286227
71,5.197,0.0007,238.5687762
72,5.2024,0.0041,238.321146
73,5.2156,0.0333,237.7179864
74,5.2212,0.0002,237.4630219
75,5.2518,0.0071,236.0794261
76,5.2682,0.0001,235.3445067
77,5.2887,0.0042,234.4322669
78,5.3012,0.0446,233.8794858
79,5.3051,0.0254,233.7075512
80,5.3187,0.1366,233.1099573
81,5.3667,0.1776,231.0250116
82,5.3707,0.1061,230.8529484
83,5.3876,0.1136,230.1288013
84,5.3995,0.0055,229.6216187
85,5.404,0.0672,229.430409
86,5.4273,0.0068,228.4454388
87,5.4308,0.0105,228.298212
88,5.4325,0.0001,228.2267704
89,5.4402,0.0184,227.9037407
90,5.4416,0.0691,227.8451062
91,5.4466,0.034,227.6359435
92,5.4583,0.0049,227.1480003
93,5.469,0.0107,226.7035893
94,5.472,0.014,226.5793001
95,5.4747,0.0069,226.4675562
96,5.4793,0.0216,226.2774314
97,5.491,0.0069,225.7952887
98,5.5012,0.0258,225.3766324
99,5.5218,0.0196,224.5358271
100,5.5326,0.023,224.0975183
