state,E_ex,osc,nm
1,2.3182,0.0025,534.829579
2,2.4137,0.0058,513.6686125
3,2.4464,0.0241,506.8026202
4,2.5437,0.0053,487.4167276
5,2.656,0.0396,466.8079556
6,2.7594,0.0287,449.3157679
7,3.0734,0.0022,403.4105323
8,3.1446,0.0012,394.2765153
9,3.4013,0.001,364.5200159
10,3.6251,0.0058,342.0159251
11,3.6687,0.0013,337.9512988
12,3.7476,0.0008,330.8362499
13,3.8743,0.0087,320.0170173
14,3.9322,0.0002,315.3049006
15,3.9448,0.0008,314.297792
16,4.0403,0.003,306.8687795
17,4.1506,0.0002,298.713904
18,4.1715,0.0052,297.2172911
19,4.1964,0.0002,295.4537056
20,4.2177,0.0074,293.9616213
21,4.2837,0.0007,289.4324836
22,4.3398,0.0069,285.6910295
23,4.3892,0.0016,282.475606
24,4.5517,0.0017,272.3909594
25,4.619,0.0056,268.4221541
26,4.6727,0.0126,265.3373703
27,4.7193,0.0059,262.7173373
28,4.7406,0.03,261.5369215
29,4.7686,0.0345,260.0012436
30,4.8443,0.0001,255.9383048
31,4.9138,0.0008,252.3183544
32,4.9359,0.0012,251.1886242
33,4.9686,0.0032,249.5354687
34,4.9783,0.0043,249.0492598
35,5.1039,0.1923,242.9204981
36,5.1391,0.0083,241.2566266
37,5.1542,0.0129,240.5498293
38,5.1995,0.0106,238.4540687
39,5.2195,0.1578,237.540364
40,5.2476,0.0046,236.268376
41,5.2982,0.0023,234.0119154
42,5.3239,0.0004,232.8822724
43,5.3736,0.0325,230.7283627
44,5.3944,0.0002,229.8387087
45,5.4007,0.0269,229.5705983
46,5.4211,0.0048,228.7067071
47,5.4762,0.0014,226.4055239
48,5.4862,0.0009,225.992842
49,5.505,0.0303,225.221059
50,5.5186,0.0078,224.6660258
51,5.5569,0.0124,223.117553
52,5.5707,0.0012,222.5648357
53,5.5804,0.0031,222.1779675
54,5.5992,0.0008,221.4319778
55,5.6072,0.012,221.1160526
56,5.6344,0.0035,220.0486174
57,5.64,0.0043,219.8301294
58,5.6598,0.0174,219.0610852
59,5.6618,0.0221,218.9837031
60,5.67,0.0023,218.6670071
61,5.6825,0.0002,218.1859974
62,5.6864,0.0318,218.0363552
63,5.7025,0.0034,217.4207681
64,5.7142,0,216.9755924
65,5.7227,0.0064,216.6533157
66,5.7258,0.0053,216.5360177
67,5.73,0.006,216.3773002
68,5.7417,0.0002,215.936383
69,5.7483,0.0053,215.6884522
70,5.7575,0.0086,215.3438003
71,5.7814,0.0515,214.4535804
72,5.7818,0.0063,214.438744
73,5.7852,0.0005,214.3127169
74,5.8087,0.0401,213.4456815
75,5.814,0.0747,213.251106
76,5.8358,0.0259,212.454493
77,5.8569,0.0007,211.6891069
78,5.8613,0.0026,211.5301947
79,5.8699,0.0006,211.2202814
80,5.872,0.0002,211.1447428
81,5.8843,0.0061,210.7033853
82,5.8967,0.035,210.2603032
83,5.9192,0.0742,209.461064
84,5.9348,0.0013,208.9104822
85,5.9599,0.0257,208.0306599
86,5.9785,0.0002,207.3834457
87,5.9941,0.0672,206.843718
88,5.9977,0.0488,206.7195642
89,6.0074,0.001,206.3857792
90,6.0223,0.0008,205.8751524
91,6.0298,0.0158,205.6190802
92,6.0357,0.0448,205.4180841
93,6.0406,0.0102,205.2514535
94,6.0665,0.0338,204.3751636
95,6.0831,0.0323,203.81745
96,6.0882,0.0179,203.646715
97,6.1146,0.0059,202.7674631
98,6.1202,0.0066,202.5819303
99,6.1503,0.0584,201.5904801
100,6.1718,0.0102,200.8882222
