state,E_ex,osc,nm
1,2.5478,0.0038,486.6323613
2,2.7093,0.0229,457.6244528
3,2.759,0.0289,449.3809097
4,2.8372,0.0037,436.9948999
5,2.8964,0.0003,428.0630887
6,3.0515,0.0145,406.3057283
7,3.3636,0.0007,368.6056398
8,3.5444,0.0014,349.8030499
9,3.601,0.0018,344.3048959
10,3.7348,0.0019,331.9701001
11,3.7501,0.0029,330.6156982
12,3.8237,0.0016,324.2518843
13,3.8552,0,321.6024927
14,3.8903,0.0062,318.7008534
15,3.9283,0.02,315.617934
16,4.1473,0.0058,298.9515902
17,4.196,0.0114,295.4818708
18,4.2383,0.0006,292.5328386
19,4.2892,0.0023,289.0613471
20,4.4521,0.0045,278.4847443
21,4.6339,0.0027,267.5590604
22,4.6341,0.0023,267.547513
23,4.6823,0.0012,264.7933558
24,4.7313,0.0099,262.0510071
25,4.7725,0.0035,259.7887753
26,4.8103,0.0058,257.7473193
27,4.8954,0.0008,253.2667259
28,4.971,0.0262,249.414993
29,5.0089,0.0082,247.5277865
30,5.0541,0.0049,245.3140876
31,5.0698,0.0031,244.5544065
32,5.1119,0.0005,242.5403333
33,5.1722,0.0109,239.7126813
34,5.1825,0,239.2362624
35,5.1844,0.0002,239.1485861
36,5.223,0.0094,237.3811851
37,5.2598,0.0028,235.7203563
38,5.3147,0.0488,233.2854028
39,5.3607,0.0006,231.283588
40,5.3778,0.0129,230.5481665
41,5.4031,0.0005,229.4686254
42,5.418,0.0052,228.8375655
43,5.4212,0.0042,228.7024884
44,5.4345,0.0011,228.1427785
45,5.4519,0.0166,227.4146499
46,5.4673,0.0101,226.7740804
47,5.4941,0.004,225.6678855
48,5.5023,0.0094,225.3315759
49,5.5152,0.0025,224.8045275
50,5.5566,0.0003,223.129599
51,5.5867,0.0024,221.9274223
52,5.6155,0.0049,220.7892316
53,5.6676,0.0136,218.7596037
54,5.6702,0.0175,218.6592942
55,5.7162,0,216.8996764
56,5.7197,0.0022,216.7669511
57,5.7527,0.0113,215.5234811
58,5.7604,0,215.2353882
59,5.7662,0.0003,215.0188911
60,5.7734,0,214.7507413
61,5.7852,0.0003,214.3127169
62,5.7919,0.0007,214.0648026
63,5.8003,0,213.7547937
64,5.8025,0.004,213.6737492
65,5.8529,0.0027,211.8337798
66,5.8642,0.0149,211.4255875
67,5.8818,0.0416,210.7929426
68,5.8914,0.0008,210.4494568
69,5.9009,0.0201,210.1106492
70,5.9121,0.0103,209.7126114
71,5.9205,0.0001,209.4150714
72,5.9236,0.0183,209.3054781
73,5.9322,0.0021,209.0020448
74,5.9417,0.0167,208.6678779
75,5.9531,0.0416,208.2682854
76,5.9634,0.0193,207.9085639
77,5.9717,0.0246,207.6195941
78,5.9841,0.0888,207.1893735
79,6.0374,0.0717,205.3602428
80,6.0489,0.0046,204.9698177
81,6.0544,0.0019,204.7836169
82,6.0647,0.0051,204.4358221
83,6.0694,0.0026,204.2775118
84,6.0752,0.0017,204.0824878
85,6.0778,0.0033,203.9951841
86,6.0787,0.0031,203.964981
87,6.0867,0.0002,203.6969014
88,6.0947,0.0005,203.4295257
89,6.0988,0.0068,203.2927674
90,6.1092,0.0114,202.9466919
91,6.1181,0.0247,202.6514653
92,6.1246,0.0042,202.4363926
93,6.1452,0.0006,201.7577833
94,6.1478,0.0058,201.6724568
95,6.1659,0.0045,201.0804473
96,6.183,0.004,200.5243296
97,6.1911,0.0156,200.2619777
98,6.1972,0.0072,200.0648567
99,6.2039,0.0136,199.8487935
100,6.2127,0.0112,199.565717
