state,E_ex,osc,nm
1,2.0223,0.0005,613.0850665
2,2.0585,0.0019,602.3035851
3,2.0786,0.0077,596.4793274
4,2.2503,0.0406,550.9673955
5,2.3924,0.0015,518.2419035
6,2.4558,0.0013,504.8627453
7,2.481,0.0373,499.7347561
8,2.5722,0.0041,482.0161457
9,2.6779,0.0006,462.9903768
10,2.6964,0.0017,459.8137999
11,2.8205,0.0004,439.5823187
12,2.922,0.002,424.3127755
13,2.9562,0,419.4039409
14,2.964,0.0003,418.3002463
15,2.9768,0.0007,416.501589
16,3.0185,0.0002,410.7476992
17,3.0506,0.0001,406.4255982
18,3.1074,0.0008,398.9965663
19,3.1716,0.0001,390.9200183
20,3.1969,0,387.8263099
21,3.2575,0.0072,380.6114904
22,3.2905,0.0019,376.7943869
23,3.296,0.0004,376.1656341
24,3.3174,0.0015,373.7390517
25,3.33,0.0008,372.3249039
26,3.3452,0.0019,370.6331251
27,3.3617,0.0018,368.8139721
28,3.3836,0.0082,366.4268619
29,3.4083,0.0001,363.7713611
30,3.435,0.0002,360.9437933
31,3.454,0.0052,358.9582889
32,3.5054,0.0001,353.6948508
33,3.5105,0.0003,353.1810084
34,3.5184,0,352.3879974
35,3.5309,0,351.1404826
36,3.5525,0.0003,349.0054694
37,3.6704,0.0005,337.7947717
38,3.738,0.0029,331.6859096
39,3.7556,0.0036,330.1315183
40,3.7678,0.0011,329.0625644
41,3.7871,0.0004,327.38558
42,3.793,0.0001,326.8763327
43,3.8073,0.0008,325.648604
44,3.8109,0.0003,325.3409772
45,3.8486,0.0004,322.1540118
46,3.8662,0.0006,320.6874787
47,3.8761,0.0012,319.8684064
48,3.8773,0.0019,319.7694091
49,3.902,0.0005,317.7452409
50,3.9358,0.0005,315.0164973
51,3.9472,0.0002,314.1066908
52,3.959,0.0017,313.1704799
53,3.9994,0.0001,310.0069835
54,4.0227,0.0007,308.2113829
55,4.0566,0.0028,305.6357368
56,4.0943,0.0022,302.8214664
57,4.1022,0.0029,302.2382941
58,4.1044,0.0006,302.0762913
59,4.117,0.0055,301.1517926
60,4.1308,0.0002,300.1457175
61,4.2226,0.0046,293.6205016
62,4.2274,0.0001,293.2871103
63,4.2453,0.0024,292.0504864
64,4.2683,0.0046,290.4767542
65,4.2764,0.0007,289.9265574
66,4.2777,0.0157,289.8384482
67,4.3043,0.0018,288.0472853
68,4.3181,0.0027,287.1267293
69,4.3505,0.0159,284.988376
70,4.3656,0.0052,284.0026411
71,4.3953,0.0022,282.0835734
72,4.4331,0.0164,279.6783131
73,4.4396,0.0006,279.2688373
74,4.4473,0.0075,278.7853147
75,4.489,0.0039,276.1955736
76,4.5057,0.0018,275.1718778
77,4.5407,0.0007,273.0508358
78,4.5753,0.0035,270.985931
79,4.5953,0.01,269.8065262
80,4.6073,0.0033,269.1037983
81,4.6155,0.0028,268.6257025
82,4.6357,0.0009,267.4551697
83,4.6623,0.0122,265.9292474
84,4.6784,0.006,265.0140924
85,4.6936,0.0148,264.1558569
86,4.6998,0.0025,263.8073812
87,4.7227,0.0005,262.5282
88,4.741,0.002,261.5148555
89,4.7601,0.004,260.4655217
90,4.7737,0.0028,259.7234703
91,4.793,0.0022,258.6776403
92,4.7956,0.0031,258.5373947
93,4.7998,0.0072,258.311165
94,4.8075,0.0033,257.8974373
95,4.8189,0.005,257.2873332
96,4.8278,0.0007,256.8130266
97,4.8359,0.0025,256.3828719
98,4.8479,0.0027,255.7482477
99,4.8572,0.0069,255.2585708
100,4.863,0.0066,254.9541291
